enrollment_id,tanggal_daftar,student_id,course_id,instructor_id
E00057,Jan 07 2025,S111,C014,I008
E00058,Jun 16 2025,S111,C005,I027
E00059,2025-05-25,S321,C006,I020
E00060,22/03/2025,S311,C024,I010
E00061,27/04/2025,S190,C042,I022
E00062,Jun 29 2025,S252,C009,I023
E00063,May 25 2025,S153,C025,I028
E00064,Apr 15 2025,S310,C016,I013
E00065,Jun 06 2025,S399,C025,I008
E00066,2025-05-28,S261,C019,I008
E00067,Apr 02 2025,S362,C019,I021
E00068,12/04/2025,S042,C046,I027
E00069,22/06/2025,S126,C034,I039
E00070,20/01/2025,S028,C051,I003
E00071,10/02/2025,S411,C057,I038
E00072,27/01/2025,S455,C030,I030
E00073,2025-06-20,S170,C050,I008
E00074,2025-03-02,S083,C016,I011
E00075,11/05/2025,S435,C028,I035
E00076,2025-04-04,S352,C046,I006
E00077,2025-02-03,S103,C041,I017
E00078,Feb 11 2025,S203,C011,I009
E00079,2025-03-25,S046,C057,I018
E00080,Feb 26 2025,S396,C012,I021
E00081,May 27 2025,S239,C059,I025
E00082,Feb 20 2025,S130,C050,I022
E00083,2025-02-02,S151,C053,I003
E00084,2025-01-06,S488,C026,I018
E00085,23/05/2025,S149,C029,I027
E00086,21/02/2025,S297,C060,I021
E00087,06/01/2025,S057,C020,I028
E00088,Mar 02 2025,S192,C029,I025
E00089,Feb 03 2025,S380,C024,I010
E00090,2025-03-29,S344,C014,I028
E00091,2025-03-17,S085,C051,I005
E00092,Mar 23 2025,S232,C038,I032
E00093,Mar 20 2025,S111,C033,I019
E00094,13/06/2025,S189,C058,I002
E00095,2025-05-14,S102,C031,I008
E00096,2025-04-20,S405,C007,I005
E00097,2025-03-25,S378,C019,I027
E00098,13/03/2025,S062,C029,I023
E00099,Feb 03 2025,S371,C059,I001
E00100,Apr 27 2025,S034,C053,I020
E00101,Jan 15 2025,S478,C014,I022
E00102,Feb 05 2025,S134,C043,I012
E00103,Jun 11 2025,S002,C046,I030
E00104,14/01/2025,S171,C020,I030
E00105,Apr 17 2025,S480,C030,I002
E00106,2025-01-29,S331,C039,I005
E00107,2025-03-22,S426,C006,I038
E00108,15/02/2025,S198,C031,I012
E00109,28/01/2025,S041,C016,I022
E00110,Apr 29 2025,S241,C053,I030
E00111,Apr 04 2025,S045,C028,I039
E00112,12/02/2025,S096,C056,I024
E00113,2025-05-05,S382,C019,I001
E00114,2025-04-16,S363,C039,I029
E00115,20/05/2025,S206,C019,I035
E00116,11/05/2025,S035,C025,I013
E00117,May 17 2025,S247,C047,I014
E00118,Jun 18 2025,S383,C013,I011
E00119,2025-06-20,S493,C027,I003
E00120,May 26 2025,S335,C032,I009
E00121,05/03/2025,S466,C013,I007
E00122,2025-02-23,S108,C021,I032
E00123,15/02/2025,S104,C032,I009
E00124,2025-03-11,S236,C032,I038
E00125,20/05/2025,S427,C043,I031
E00126,06/01/2025,S128,C028,I005
E00127,May 03 2025,S186,C041,I028
E00128,06/02/2025,S166,C015,I022
E00129,28/02/2025,S366,C019,I035
E00130,14/03/2025,S355,C052,I008
E00131,2025-04-28,S227,C039,I031
E00132,2025-04-30,S330,C007,I005
E00133,30/05/2025,S372,C023,I026
E00134,Apr 03 2025,S095,C031,I040
E00135,2025-02-07,S216,C003,I005
E00136,2025-01-06,S138,C045,I010
E00137,Jun 21 2025,S046,C043,I002
E00138,22/03/2025,S187,C032,I009
E00139,2025-04-19,S110,C042,I027
E00140,16/03/2025,S029,C046,I020
E00141,2025-04-26,S412,C036,I006
E00142,2025-01-18,S318,C022,I020
E00142,18/01/2025,S102,C020,I008
E00143,Jun 30 2025,S158,C048,I021
E00144,26/03/2025,S298,C043,I040
E00145,Jan 07 2025,S123,C008,I019
E00146,08/03/2025,S206,C035,I034
E00147,Mar 22 2025,S305,C009,I015
E00148,May 25 2025,S098,C029,I009
E00149,Jan 22 2025,S478,C008,I006
E00150,Feb 15 2025,S281,C038,I013
E00151,Feb 08 2025,S029,C018,I014
E00152,2025-04-23,S340,C019,I024
E00153,2025-05-04,S430,C041,I020
E00154,24/06/2025,S166,C018,I025
E00155,May 24 2025,S331,C024,I002
E00156,Jan 26 2025,S484,C039,I008
E00157,10/02/2025,S360,C049,I032
E00158,Jan 04 2025,S079,C016,I026
E00159,03/06/2025,S378,C057,I013
E00160,2025-03-21,S061,C039,I035
E00161,07/03/2025,S221,C011,I012
E00162,25/02/2025,S488,C037,I013
E00163,19/03/2025,S050,C044,I011
E00164,Jan 24 2025,S088,C020,I022
E00165,Jun 08 2025,S430,C008,I028
E00166,14/04/2025,S217,C042,I039
E00167,2025-04-30,S296,C024,I024
E00168,Jan 30 2025,S437,C036,I035
E00169,2025-04-07,S057,C014,I017
E00170,2025-06-30,S202,C001,I013
E00171,May 24 2025,S073,C058,I039
E00171,May 24 2025,S446,C009,I005
E00172,25/04/2025,S352,C031,I022
E00173,2025-06-24,S338,C039,I001
E00174,Jun 13 2025,S053,C016,I006
E00175,May 14 2025,S028,C053,I040
E00176,27/05/2025,S372,C034,I037
E00177,2025-06-23,S440,C014,I030
E00178,2025-05-24,S004,C036,I010
E00179,2025-01-21,S167,C027,I014
E00179,2025-01-21,S008,C019,I016
E00180,2025-05-28,S409,C054,I030
E00181,Jun 08 2025,S078,C011,I006
E00182,2025-01-16,S210,C016,I032
E00183,06/01/2025,S456,C031,I031
E00184,2025-06-25,S137,C043,I024
E00185,2025-01-21,S160,C058,I008
E00186,10/06/2025,S265,C011,I039
E00187,17/06/2025,S402,C009,I009
E00188,01/01/2025,S207,C059,I001
E00189,Feb 08 2025,S036,C039,I004
E00190,01/02/2025,S186,C011,I026
E00191,02/02/2025,S062,C027,I021
E00192,May 22 2025,S332,C041,I038
E00193,2025-03-13,S115,C003,I027
E00194,2025-04-05,S218,C034,I032
E00195,Mar 27 2025,S261,C059,I001
E00196,26/01/2025,S279,C032,I031
E00197,Apr 15 2025,S097,C032,I012
E00198,11/01/2025,S049,C004,I015
E00199,2025-06-13,S253,C047,I032
E00200,2025-04-08,S247,C049,I037
E00201,2025-04-24,S369,C011,I019
E00201,Apr 24 2025,S053,C001,I028
E00202,Feb 12 2025,S253,C026,I031
E00203,16/01/2025,S126,C032,I031
E00204,27/01/2025,S357,C044,I022
E00205,2025-06-13,S229,C055,I014
E00206,16/03/2025,S113,C044,I003
E00207,Jan 01 2025,S352,C006,I007
E00208,28/02/2025,S261,C058,I022
E00208,Feb 28 2025,S185,C001,I019
E00209,26/03/2025,S250,C058,I033
E00210,2025-04-20,S373,C050,I028
E00211,02/05/2025,S040,C038,I010
E00212,2025-02-04,S408,C035,I017
E00213,01/01/2025,S241,C052,I038
E00214,May 08 2025,S350,C033,I013
E00215,2025-06-14,S448,C030,I005
E00216,2025-02-04,S450,C039,I019
E00217,Jan 11 2025,S211,C009,I001
E00218,17/03/2025,S239,C004,I014
E00219,Feb 27 2025,S081,C035,I031
E00220,2025-02-20,S352,C022,I014
E00221,Jun 27 2025,S178,C018,I010
E00222,2025-05-08,S031,C057,I008
E00223,2025-04-02,S260,C058,I025
E00224,May 09 2025,S446,C041,I002
E00225,2025-01-18,S386,C010,I024
E00226,05/04/2025,S235,C044,I038
E00227,2025-01-25,S206,C038,I018
E00228,Apr 15 2025,S037,C022,I027
E00229,Apr 25 2025,S486,C056,I020
E00230,13/06/2025,S086,C003,I004
E00231,2025-01-23,S256,C009,I013
E00232,2025-03-30,S068,C054,I014
E00233,2025-04-28,S276,C012,I005
E00234,2025-04-03,S280,C032,I020
E00235,Jun 18 2025,S408,C011,I006
E00236,15/05/2025,S087,C047,I004
E00237,2025-06-09,S319,C023,I040
E00238,09/05/2025,S160,C020,I040
E00239,2025-05-19,S086,C038,I017
E00240,31/03/2025,S339,C024,I016
E00241,27/02/2025,S290,C041,I018
E00242,2025-03-15,S013,C060,I007
E00243,2025-01-05,S297,C058,I016
E00244,2025-06-24,S484,C035,I026
E00245,2025-04-29,S054,C042,I013
E00246,2025-05-20,S305,C038,I033
E00247,Jun 27 2025,S229,C005,I019
E00248,Jan 13 2025,S135,C049,I031
E00249,23/03/2025,S430,C022,I038
E00250,2025-02-11,S025,C042,I006
E00251,Apr 19 2025,S077,C006,I035
E00252,Apr 06 2025,S255,C018,I027
E00253,Mar 01 2025,S078,C006,I011
E00254,29/03/2025,S261,C023,I032
E00255,13/02/2025,S318,C009,I022
E00256,02/04/2025,S359,C049,I008
E00257,May 07 2025,S482,C017,I002
E00257,2025-05-07,S098,C002,I009
E00258,17/03/2025,S036,C042,I037
E00259,2025-01-31,S151,C052,I025
E00260,Jun 15 2025,S458,C011,I039
E00261,May 12 2025,S094,C003,I020
E00262,2025-01-02,S015,C060,I036
E00263,May 17 2025,S111,C005,I039
E00264,15/06/2025,S411,C016,I026
E00265,09/02/2025,S047,C011,I012
E00266,07/04/2025,S423,C035,I001
E00267,20/06/2025,S217,C024,I034
E00268,Feb 14 2025,S263,C033,I031
E00269,Jun 18 2025,S185,C059,I017
E00270,2025-03-16,S475,C052,I010
E00271,18/02/2025,S430,C058,I027
E00272,02/06/2025,S133,C020,I037
E00273,21/06/2025,S045,C010,I037
E00274,2025-04-16,S332,C013,I005
E00275,Apr 12 2025,S326,C025,I009
E00275,12/04/2025,S455,C051,I036
E00276,2025-01-16,S452,C014,I017
E00277,Jun 01 2025,S431,C025,I039
E00278,May 27 2025,S227,C033,I037
E00279,2025-04-24,S199,C009,I035
E00280,Jan 01 2025,S194,C031,I020
E00281,2025-06-01,S471,C055,I014
E00282,2025-01-20,S289,C032,I025
E00283,May 11 2025,S101,C028,I021
E00284,2025-01-17,S477,C054,I034
E00285,04/01/2025,S089,C032,I007
E00286,2025-03-07,S027,C054,I023
E00287,Apr 03 2025,S051,C002,I009
E00288,13/04/2025,S498,C050,I023
E00288,2025-04-13,S337,C004,I014
E00289,Jan 30 2025,S140,C032,I003
E00289,Jan 30 2025,S011,C004,I007
E00290,Apr 25 2025,S408,C023,I018
E00291,06/02/2025,S082,C033,I030
E00292,May 29 2025,S166,C006,I039
E00293,2025-04-08,S256,C003,I028
E00294,Mar 02 2025,S316,C054,I017
E00295,19/01/2025,S184,C033,I025
E00296,Apr 22 2025,S498,C002,I021
E00297,2025-06-13,S045,C033,I036
E00298,May 19 2025,S348,C042,I030
E00299,27/06/2025,S320,C056,I016
E00300,2025-01-26,S091,C041,I023
E00301,2025-01-29,S431,C032,I026
E00302,11/05/2025,S492,C051,I016
E00303,2025-05-30,S498,C047,I013
E00304,01/02/2025,S408,C019,I038
E00305,2025-03-10,S062,C040,I021
E00306,09/04/2025,S332,C043,I039
E00307,Mar 02 2025,S393,C031,I008
E00308,2025-03-21,S061,C042,I034
E00309,2025-06-01,S048,C041,I013
E00310,2025-04-27,S321,C027,I007
E00311,31/05/2025,S262,C040,I012
E00312,Mar 31 2025,S430,C009,I014
E00313,26/05/2025,S206,C006,I024
E00314,21/03/2025,S016,C028,I039
E00315,Apr 25 2025,S119,C042,I012
E00316,13/03/2025,S157,C007,I037
E00316,2025-03-13,S287,C022,I011
E00317,Jan 24 2025,S157,C047,I016
E00318,11/04/2025,S016,C023,I015
E00319,04/01/2025,S409,C043,I038
E00320,Jun 17 2025,S121,C047,I023
E00321,Jun 04 2025,S127,C034,I003
E00322,2025-05-31,S159,C026,I013
E00323,01/06/2025,S118,C004,I007
E00324,Apr 09 2025,S291,C021,I036
E00325,Mar 05 2025,S314,C040,I012
E00326,02/02/2025,S478,C050,I021
E00327,Feb 28 2025,S167,C004,I026
E00328,11/05/2025,S050,C023,I014
E00329,03/04/2025,S347,C060,I039
E00330,2025-03-09,S368,C026,I006
E00331,Feb 19 2025,S279,C018,I037
E00332,21/05/2025,S340,C059,I019
E00333,29/03/2025,S454,C015,I023
E00334,Jan 17 2025,S399,C047,I037
E00335,Jun 13 2025,S438,C006,I012
E00336,09/02/2025,S012,C060,I021
E00337,08/03/2025,S309,C002,I024
E00338,2025-01-15,S117,C032,I038
E00339,May 02 2025,S098,C058,I004
E00340,Jan 03 2025,S288,C002,I016
E00341,30/01/2025,S190,C008,I009
E00342,26/02/2025,S404,C037,I016
E00343,22/02/2025,S159,C058,I009
E00344,27/05/2025,S183,C026,I018
E00345,17/01/2025,S282,C052,I023
E00346,Jun 05 2025,S442,C060,I016
E00347,2025-01-14,S450,C013,I015
E00348,2025-04-22,S265,C029,I001
E00349,2025-02-13,S105,C038,I013
E00350,29/01/2025,S183,C028,I037
E00351,25/03/2025,S403,C045,I027
E00352,05/02/2025,S187,C002,I006
E00353,Jan 07 2025,S118,C004,I029
E00354,May 09 2025,S465,C052,I023
E00355,2025-05-03,S028,C021,I040
E00356,May 23 2025,S207,C047,I009
E00357,Mar 29 2025,S113,C049,I039
E00358,16/04/2025,S024,C010,I014
E00359,2025-05-04,S278,C009,I020
E00360,12/06/2025,S293,C015,I016
E00361,2025-01-25,S013,C013,I037
E00362,Jun 24 2025,S019,C002,I001
E00363,Jun 09 2025,S021,C052,I024
E00364,12/01/2025,S088,C033,I031
E00365,18/05/2025,S356,C012,I035
E00366,May 16 2025,S347,C044,I037
E00367,2025-01-19,S413,C048,I030
E00368,02/02/2025,S371,C033,I007
E00369,15/02/2025,S048,C025,I037
E00370,2025-05-01,S340,C018,I003
E00371,2025-04-21,S032,C024,I028
E00372,24/01/2025,S001,C002,I014
E00373,04/06/2025,S264,C041,I017
E00374,Mar 21 2025,S024,C002,I004
E00375,Jun 15 2025,S302,C003,I030
E00376,01/06/2025,S170,C045,I024
E00377,23/02/2025,S181,C060,I013
E00378,2025-03-05,S449,C030,I039
E00379,2025-04-23,S445,C052,I030
E00380,2025-03-03,S458,C001,I030
E00381,2025-03-23,S256,C018,I013
E00382,Apr 15 2025,S192,C049,I002
E00383,Apr 14 2025,S388,C011,I013
E00384,2025-02-01,S186,C034,I014
E00385,2025-03-31,S021,C060,I030
E00386,02/01/2025,S359,C006,I030
E00387,2025-02-12,S233,C015,I014
E00388,Mar 17 2025,S362,C009,I026
E00389,May 26 2025,S154,C005,I017
E00390,Jan 15 2025,S150,C007,I029
E00391,2025-04-20,S154,C008,I006
E00392,Mar 19 2025,S409,C046,I027
E00393,2025-02-08,S422,C047,I017
E00394,2025-03-21,S490,C015,I001
E00395,Jan 20 2025,S023,C009,I023
E00396,11/05/2025,S021,C005,I007
E00397,Mar 31 2025,S008,C045,I015
E00398,Jan 03 2025,S381,C023,I009
E00399,Feb 15 2025,S219,C017,I024
E00400,2025-05-22,S205,C042,I010
E00401,2025-06-05,S460,C020,I001
E00402,Jan 12 2025,S087,C020,I023
E00403,25/01/2025,S226,C018,I015
E00404,20/06/2025,S222,C051,I001
E00405,2025-01-19,S074,C023,I006
E00406,Jun 07 2025,S045,C001,I020
E00407,01/06/2025,S310,C038,I037
E00408,2025-06-27,S244,C024,I023
E00409,2025-05-07,S465,C012,I028
E00410,15/04/2025,S241,C058,I038
E00411,19/03/2025,S404,C035,I029
E00412,2025-01-03,S487,C048,I018
E00413,02/04/2025,S054,C008,I007
E00414,Mar 23 2025,S080,C012,I033
E00415,2025-01-11,S044,C043,I013
E00416,19/06/2025,S450,C046,I019
E00417,08/02/2025,S024,C020,I032
E00418,02/05/2025,S077,C009,I013
E00419,02/03/2025,S457,C049,I040
E00420,2025-05-01,S125,C031,I010
E00421,Jun 01 2025,S193,C020,I014
E00422,28/03/2025,S395,C055,I014
E00423,15/02/2025,S040,C029,I011
E00424,Mar 17 2025,S068,C034,I032
E00425,May 31 2025,S411,C012,I009
E00426,2025-05-22,S287,C052,I008
E00427,06/01/2025,S436,C001,I004
E00428,2025-02-06,S035,C054,I026
E00429,2025-04-08,S223,C056,I018
E00430,08/01/2025,S340,C058,I009
E00431,10/04/2025,S074,C033,I021
E00432,11/02/2025,S119,C051,I009
E00433,Jan 04 2025,S406,C040,I022
E00434,13/01/2025,S231,C013,I005
E00435,25/03/2025,S127,C040,I028
E00436,Jun 10 2025,S280,C043,I005
E00437,2025-03-04,S496,C048,I018
E00438,2025-06-03,S043,C001,I002
E00439,May 17 2025,S301,C011,I031
E00440,2025-01-01,S393,C003,I015
E00441,20/05/2025,S148,C053,I023
E00442,May 12 2025,S266,C037,I008
E00443,Mar 20 2025,S422,C008,I010
E00444,2025-03-20,S315,C060,I002
E00444,2025-03-20,S035,C038,I039
E00445,24/03/2025,S063,C027,I032
E00446,Jan 11 2025,S138,C053,I008
E00447,2025-04-16,S171,C033,I036
E00448,2025-05-01,S369,C047,I026
E00449,23/02/2025,S248,C015,I030
E00450,Apr 26 2025,S081,C056,I026
E00450,26/04/2025,S111,C010,I037
E00451,May 05 2025,S449,C008,I027
E00452,2025-06-30,S426,C051,I008
E00453,Feb 19 2025,S096,C005,I004
E00453,2025-02-19,S255,C049,I030
E00454,2025-04-17,S362,C058,I039
E00455,2025-04-08,S284,C040,I039
E00456,2025-05-22,S006,C007,I004
E00457,Mar 08 2025,S366,C016,I020
E00458,Apr 22 2025,S055,C038,I030
E00459,25/03/2025,S216,C048,I001
E00460,2025-02-15,S045,C005,I010
E00461,2025-01-20,S310,C016,I033
E00462,15/04/2025,S280,C035,I023
E00463,Jun 23 2025,S496,C038,I029
E00464,22/03/2025,S330,C021,I017
E00465,17/03/2025,S389,C045,I038
E00466,03/06/2025,S177,C030,I019
E00467,25/02/2025,S306,C010,I001
E00468,2025-05-19,S420,C012,I003
E00469,2025-06-27,S027,C017,I035
E00470,21/05/2025,S393,C033,I038
E00471,2025-04-03,S365,C037,I008
E00472,2025-03-12,S093,C029,I032
E00473,28/05/2025,S034,C001,I022
E00474,May 03 2025,S296,C005,I009
E00475,2025-04-16,S341,C036,I016
E00476,May 10 2025,S034,C034,I030
E00477,Apr 13 2025,S203,C027,I033
E00478,Feb 12 2025,S443,C044,I015
E00479,2025-05-05,S388,C042,I014
E00480,Jan 14 2025,S270,C004,I039
E00481,Mar 17 2025,S285,C050,I011
E00482,12/02/2025,S066,C019,I035
E00483,25/02/2025,S243,C058,I038
E00484,28/01/2025,S010,C029,I017
E00485,26/03/2025,S339,C037,I038
E00486,18/02/2025,S117,C036,I011
E00487,2025-03-09,S273,C046,I004
E00488,2025-06-30,S384,C020,I017
E00489,22/03/2025,S484,C005,I035
E00490,Jan 03 2025,S400,C028,I034
E00491,Jun 26 2025,S403,C026,I018
E00492,18/02/2025,S157,C001,I038
E00493,2025-04-20,S332,C041,I039
E00494,2025-05-02,S475,C057,I023
E00495,10/03/2025,S153,C016,I027
E00496,May 18 2025,S365,C030,I033
E00497,2025-06-02,S385,C013,I040
E00498,2025-06-17,S473,C013,I002
E00499,16/01/2025,S484,C048,I024
E00500,2025-01-16,S099,C047,I016
E00501,2025-01-25,S339,C010,I031
E00502,10/01/2025,S052,C007,I025
E00503,Mar 22 2025,S269,C005,I037
E00504,14/05/2025,S366,C024,I012
E00505,2025-01-28,S251,C015,I028
E00506,16/04/2025,S142,C010,I035
E00507,Feb 19 2025,S286,C033,I001
E00508,31/03/2025,S163,C030,I033
E00509,05/03/2025,S452,C030,I036
E00510,2025-06-13,S227,C007,I036
E00511,2025-01-07,S354,C020,I017
E00512,2025-03-19,S319,C006,I028
E00513,May 31 2025,S481,C020,I037
E00514,May 13 2025,S285,C038,I021
E00515,01/01/2025,S450,C006,I024
E00516,27/06/2025,S388,C028,I011
E00517,21/03/2025,S444,C001,I030
E00518,20/02/2025,S022,C017,I021
E00519,2025-06-01,S132,C046,I005
E00520,08/05/2025,S493,C016,I018
E00521,Feb 10 2025,S257,C022,I026
E00522,Jun 10 2025,S058,C045,I025
E00523,Apr 28 2025,S328,C033,I017
E00524,Jan 11 2025,S452,C040,I029
E00525,2025-06-08,S171,C011,I001
E00526,Apr 06 2025,S473,C004,I017
E00527,Feb 24 2025,S497,C037,I011
E00528,Apr 03 2025,S363,C050,I008
E00528,2025-04-03,S028,C053,I023
E00529,Jun 11 2025,S408,C016,I026
E00530,2025-06-26,S255,C014,I032
E00531,Apr 23 2025,S375,C060,I036
E00532,04/04/2025,S032,C035,I015
E00533,Apr 18 2025,S404,C030,I001
E00534,09/01/2025,S165,C046,I023
E00535,08/05/2025,S108,C036,I028
E00536,2025-06-22,S067,C042,I009
E00537,Mar 10 2025,S258,C059,I022
E00538,02/03/2025,S197,C018,I002
E00539,Feb 27 2025,S347,C029,I034
E00540,20/02/2025,S032,C033,I040
E00541,12/01/2025,S079,C028,I005
E00542,19/03/2025,S042,C012,I021
E00543,29/01/2025,S379,C042,I009
E00544,2025-05-04,S051,C042,I020
E00545,2025-02-11,S449,C008,I015
E00546,2025-01-27,S268,C041,I040
E00547,2025-06-06,S260,C039,I037
E00548,2025-05-25,S241,C022,I015
E00549,2025-05-10,S188,C008,I009
E00550,Apr 09 2025,S072,C055,I032
E00551,Jun 25 2025,S302,C001,I031
E00552,10/01/2025,S154,C022,I024
E00553,15/06/2025,S261,C038,I008
E00554,2025-05-20,S078,C029,I036
E00555,May 26 2025,S244,C031,I008
E00556,Feb 28 2025,S393,C022,I015
E00557,2025-01-07,S062,C053,I039
E00558,2025-02-26,S172,C055,I006
E00559,2025-04-06,S417,C054,I017
E00560,02/05/2025,S470,C007,I004
E00561,Feb 02 2025,S425,C007,I032
E00562,2025-02-21,S023,C030,I017
E00563,May 06 2025,S355,C033,I029
E00564,Feb 11 2025,S042,C041,I013
E00565,Feb 06 2025,S405,C045,I007
E00566,2025-06-27,S124,C028,I014
E00567,07/03/2025,S251,C049,I038
E00568,2025-02-08,S404,C013,I037
E00569,2025-03-07,S216,C014,I001
E00570,01/06/2025,S120,C045,I036
E00571,Mar 20 2025,S031,C032,I039
E00572,Apr 09 2025,S084,C002,I020
E00573,Mar 13 2025,S303,C004,I025
E00574,15/01/2025,S399,C009,I001
E00575,2025-04-14,S379,C058,I037
E00576,2025-04-23,S091,C020,I028
E00577,Jan 13 2025,S203,C020,I040
E00578,Apr 09 2025,S050,C021,I020
E00579,Jun 07 2025,S026,C024,I005
E00580,Apr 08 2025,S429,C001,I037
E00581,May 26 2025,S159,C011,I037
E00582,2025-05-01,S153,C005,I040
E00583,Feb 07 2025,S174,C004,I036
E00584,Mar 11 2025,S005,C059,I003
E00585,Mar 04 2025,S394,C031,I027
E00586,Mar 24 2025,S481,C003,I030
E00587,25/04/2025,S036,C060,I026
E00588,2025-05-08,S313,C018,I016
E00589,21/04/2025,S168,C046,I024
E00590,May 19 2025,S272,C010,I030
E00591,Apr 19 2025,S132,C050,I008
E00592,27/01/2025,S419,C037,I001
E00593,Feb 20 2025,S277,C047,I005
E00594,2025-02-16,S255,C048,I033
E00595,08/01/2025,S496,C021,I014
E00596,2025-03-09,S386,C029,I002
E00597,Jan 11 2025,S173,C014,I001
E00598,2025-03-09,S100,C003,I006
E00599,Jun 29 2025,S226,C039,I024
E00600,Feb 17 2025,S391,C001,I014
E00601,27/05/2025,S241,C040,I012
E00602,08/06/2025,S287,C015,I039
E00603,Jun 24 2025,S099,C042,I032
E00603,Jun 24 2025,S100,C036,I009
E00604,2025-04-10,S257,C016,I011
E00605,Jun 11 2025,S077,C010,I004
E00606,2025-04-09,S303,C004,I015
E00607,02/02/2025,S220,C048,I009
E00608,29/03/2025,S332,C008,I003
E00609,28/04/2025,S442,C060,I039
E00610,2025-06-13,S413,C042,I035
E00611,Mar 02 2025,S406,C038,I021
E00612,May 13 2025,S420,C054,I035
E00613,2025-04-11,S067,C021,I008
E00614,Apr 12 2025,S272,C021,I014
E00615,Mar 29 2025,S210,C006,I033
E00616,29/01/2025,S387,C012,I027
E00617,Jun 29 2025,S193,C002,I011
E00618,24/02/2025,S357,C056,I036
E00619,2025-05-06,S375,C057,I034
E00620,2025-05-28,S334,C053,I011
E00621,12/01/2025,S109,C047,I022
E00622,27/03/2025,S114,C018,I038
E00623,2025-05-13,S160,C015,I039
E00624,Jun 05 2025,S328,C050,I004
E00625,Jan 04 2025,S442,C009,I015
E00626,27/04/2025,S231,C058,I006
E00627,Jun 08 2025,S251,C018,I039
E00628,Mar 15 2025,S418,C032,I008
E00629,Mar 20 2025,S075,C027,I006
E00630,2025-02-27,S008,C016,I020
E00631,2025-06-11,S466,C046,I040
E00632,Jan 07 2025,S483,C022,I006
E00633,2025-01-12,S047,C051,I007
E00634,2025-05-09,S004,C015,I029
E00635,Jun 27 2025,S121,C012,I014
E00636,21/04/2025,S151,C002,I011
E00637,May 05 2025,S163,C020,I031
E00638,06/03/2025,S223,C018,I035
E00639,23/03/2025,S209,C010,I009
E00640,Feb 21 2025,S364,C052,I023
E00641,20/04/2025,S057,C037,I036
E00642,08/01/2025,S179,C054,I030
E00643,May 09 2025,S457,C033,I024
E00644,14/03/2025,S350,C012,I010
E00645,Apr 22 2025,S186,C017,I012
E00646,13/04/2025,S476,C052,I002
E00647,Jan 03 2025,S377,C026,I029
E00648,08/04/2025,S078,C031,I019
E00649,01/04/2025,S454,C033,I033
E00650,2025-02-17,S056,C048,I017
E00651,Jan 23 2025,S233,C032,I036
E00652,14/02/2025,S225,C055,I002
E00653,26/04/2025,S408,C027,I033
E00654,2025-05-20,S204,C026,I035
E00655,05/04/2025,S004,C008,I037
E00656,30/03/2025,S028,C057,I039
E00657,2025-02-05,S104,C026,I028
E00658,Apr 17 2025,S283,C013,I011
