"activity_id","enrollment_id","jenis_aktivitas","nilai","durasi_menit","tanggal_rapih","student_id","course_id","instructor_id"
"A000809","E00013","ASSIGNMENT","80","108","2025-01-30 00:00:00","S026","C019","I039"
"A000895","E00013","EXAM","82","76","2025-01-30 00:00:00","S396","C040","I019"
"A000895","E00013","EXAM","82","76","2025-01-30 00:00:00","S026","C019","I039"
"A003945","E00013","DISCUSSION","51","129","2025-01-30 00:00:00","S396","C040","I019"
"A003945","E00013","DISCUSSION","51","129","2025-01-30 00:00:00","S026","C019","I039"
"A004387","E00013","QUIZ","60","101","2025-01-30 00:00:00","S396","C040","I019"
"A004387","E00013","QUIZ","60","101","2025-01-30 00:00:00","S026","C019","I039"
"A007856","E00013","QUIZ","89","127","2025-01-30 00:00:00","S396","C040","I019"
"A007856","E00013","QUIZ","89","127","2025-01-30 00:00:00","S026","C019","I039"
"A008303","E00013","QUIZ","73","171","2025-01-30 00:00:00","S396","C040","I019"
"A008303","E00013","QUIZ","73","171","2025-01-30 00:00:00","S026","C019","I039"
"A004291","E00014","EXAM","50","154","2025-02-27 00:00:00","S159","C036","I004"
"A005896","E00014","DISCUSSION","61","35","2025-02-27 00:00:00","S159","C036","I004"
"A008088","E00014","QUIZ","45","183","2025-02-27 00:00:00","S159","C036","I004"
"A008870","E00014","EXAM","52","137","2025-02-27 00:00:00","S159","C036","I004"
"A002987","E00015","QUIZ","41","199","2025-06-20 00:00:00","S331","C042","I036"
"A003906","E00015","QUIZ","81","208","2025-06-20 00:00:00","S331","C042","I036"
"A007839","E00015","QUIZ","89","196","2025-06-20 00:00:00","S331","C042","I036"
"A007958","E00015","VIDEO WATCH","40","25","2025-06-20 00:00:00","S331","C042","I036"
"A006282","E00016","ASSIGNMENT","90","202","2025-02-25 00:00:00","S430","C014","I011"
"A008460","E00016","QUIZ","74","193","2025-02-25 00:00:00","S430","C014","I011"
"A002563","E00017","VIDEO WATCH","52","165","2025-01-31 00:00:00","S401","C040","I002"
"A007361","E00017","DISCUSSION","67","221","2025-01-31 00:00:00","S401","C040","I002"
"A005165","E00018","EXAM","74","214","2025-01-02 00:00:00","S334","C020","I004"
"A000415","E00019","QUIZ","91","94","2025-06-18 00:00:00","S343","C048","I040"
"A005588","E00019","ASSIGNMENT","89","174","2025-06-18 00:00:00","S343","C048","I040"
"A005716","E00019","VIDEO WATCH","80","43","2025-06-18 00:00:00","S343","C048","I040"
"A007113","E00019","VIDEO WATCH","100","55","2025-06-18 00:00:00","S343","C048","I040"
"A001950","E00020","EXAM","62","130","2025-02-05 00:00:00","S281","C023","I022"
"A002005","E00020","EXAM","99","118","2025-02-05 00:00:00","S281","C023","I022"
"A003695","E00020","QUIZ","70","136","2025-02-05 00:00:00","S281","C023","I022"
"A008963","E00021","EXAM","76","175","2025-04-12 00:00:00","S176","C001","I030"
"A006968","E00022","QUIZ","77","126","2025-01-10 00:00:00","S265","C016","I035"
"A007206","E00022","DISCUSSION","88","141","2025-01-10 00:00:00","S265","C016","I035"
"A000275","E00023","EXAM","65","226","2025-05-02 00:00:00","S466","C006","I021"
"A003849","E00023","EXAM","62","11","2025-05-02 00:00:00","S466","C006","I021"
"A004434","E00023","QUIZ","49","56","2025-05-02 00:00:00","S466","C006","I021"
"A006557","E00023","DISCUSSION","79","71","2025-05-02 00:00:00","S466","C006","I021"
"A004088","E00024","EXAM","52","81","2025-03-05 00:00:00","S380","C025","I024"
"A004142","E00024","ASSIGNMENT","70","230","2025-03-05 00:00:00","S380","C025","I024"
"A001669","E00025","QUIZ","98","162","2025-04-15 00:00:00","S094","C058","I002"
"A002213","E00025","QUIZ","77","189","2025-04-15 00:00:00","S094","C058","I002"
"A002551","E00025","ASSIGNMENT","73","9","2025-04-15 00:00:00","S094","C058","I002"
"A002963","E00025","ASSIGNMENT","96","73","2025-04-15 00:00:00","S094","C058","I002"
"A007137","E00025","ASSIGNMENT","73","47","2025-04-15 00:00:00","S094","C058","I002"
"A000087","E00026","DISCUSSION","69","193","2025-06-10 00:00:00","S378","C001","I033"
"A000312","E00026","VIDEO WATCH","66","41","2025-06-10 00:00:00","S378","C001","I033"
"A000502","E00026","ASSIGNMENT","65","216","2025-06-10 00:00:00","S378","C001","I033"
"A001660","E00026","ASSIGNMENT","65","61","2025-06-10 00:00:00","S378","C001","I033"
"A005106","E00026","QUIZ","70","27","2025-06-10 00:00:00","S378","C001","I033"
"A006442","E00026","VIDEO WATCH","54","26","2025-06-10 00:00:00","S378","C001","I033"
"A006556","E00027","EXAM","55","38","2025-04-19 00:00:00","S049","C059","I034"
"A000060","E00028","ASSIGNMENT","94","117","2025-05-04 00:00:00","S127","C027","I023"
"A001372","E00029","QUIZ","55","54","2025-02-17 00:00:00","S207","C057","I030"
"A001603","E00029","VIDEO WATCH","63","231","2025-02-17 00:00:00","S207","C057","I030"
"A004664","E00029","DISCUSSION","100","215","2025-02-17 00:00:00","S207","C057","I030"
"A006121","E00029","QUIZ","94","123","2025-02-17 00:00:00","S207","C057","I030"
"A007368","E00029","DISCUSSION","72","81","2025-02-17 00:00:00","S207","C057","I030"
"A001904","E00030","DISCUSSION","65","240","2025-03-19 00:00:00","S114","C016","I014"
"A003644","E00030","EXAM","94","127","2025-03-19 00:00:00","S114","C016","I014"
"A003797","E00030","QUIZ","68","84","2025-03-19 00:00:00","S114","C016","I014"
"A005754","E00030","EXAM","49","163","2025-03-19 00:00:00","S114","C016","I014"
"A008118","E00030","EXAM","57","64","2025-03-19 00:00:00","S114","C016","I014"
"A000445","E00031","VIDEO WATCH","50","200","2025-01-30 00:00:00","S394","C022","I006"
"A000445","E00031","VIDEO WATCH","50","200","2025-01-30 00:00:00","S070","C056","I016"
"A000544","E00031","QUIZ","68","47","2025-01-30 00:00:00","S394","C022","I006"
"A000544","E00031","QUIZ","68","47","2025-01-30 00:00:00","S070","C056","I016"
"A002547","E00031","QUIZ","92","138","2025-01-30 00:00:00","S394","C022","I006"
"A002547","E00031","QUIZ","92","138","2025-01-30 00:00:00","S070","C056","I016"
"A005398","E00031","ASSIGNMENT","74","28","2025-01-30 00:00:00","S394","C022","I006"
"A005398","E00031","ASSIGNMENT","74","28","2025-01-30 00:00:00","S070","C056","I016"
"A005920","E00031","ASSIGNMENT","68","58","2025-01-30 00:00:00","S394","C022","I006"
"A005920","E00031","ASSIGNMENT","68","58","2025-01-30 00:00:00","S070","C056","I016"
"A007053","E00031","QUIZ","70","163","2025-01-30 00:00:00","S394","C022","I006"
"A007053","E00031","QUIZ","70","163","2025-01-30 00:00:00","S070","C056","I016"
"A007845","E00031","EXAM","41","99","2025-01-30 00:00:00","S394","C022","I006"
"A007845","E00031","EXAM","41","99","2025-01-30 00:00:00","S070","C056","I016"
"A001041","E00032","EXAM","68","212","2025-01-22 00:00:00","S062","C020","I019"
"A001041","E00032","EXAM","68","212","2025-01-22 00:00:00","S230","C002","I039"
"A002038","E00032","DISCUSSION","46","195","2025-01-22 00:00:00","S062","C020","I019"
"A002038","E00032","DISCUSSION","46","195","2025-01-22 00:00:00","S230","C002","I039"
"A002337","E00032","ASSIGNMENT","89","144","2025-01-22 00:00:00","S062","C020","I019"
"A002337","E00032","ASSIGNMENT","89","144","2025-01-22 00:00:00","S230","C002","I039"
"A003764","E00032","QUIZ","89","80","2025-01-22 00:00:00","S062","C020","I019"
"A003764","E00032","QUIZ","89","80","2025-01-22 00:00:00","S230","C002","I039"
"A004668","E00032","QUIZ","45","201","2025-01-22 00:00:00","S062","C020","I019"
"A004668","E00032","QUIZ","45","201","2025-01-22 00:00:00","S230","C002","I039"
"A004714","E00032","QUIZ","95","41","2025-01-22 00:00:00","S062","C020","I019"
"A004714","E00032","QUIZ","95","41","2025-01-22 00:00:00","S230","C002","I039"
"A005680","E00032","QUIZ","41","19","2025-01-22 00:00:00","S062","C020","I019"
"A005680","E00032","QUIZ","41","19","2025-01-22 00:00:00","S230","C002","I039"
"A008322","E00032","DISCUSSION","51","86","2025-01-22 00:00:00","S062","C020","I019"
"A008322","E00032","DISCUSSION","51","86","2025-01-22 00:00:00","S230","C002","I039"
"A008982","E00032","ASSIGNMENT","51","38","2025-01-22 00:00:00","S062","C020","I019"
"A008982","E00032","ASSIGNMENT","51","38","2025-01-22 00:00:00","S230","C002","I039"
"A000578","E00033","VIDEO WATCH","60","104","2025-03-29 00:00:00","S429","C011","I027"
"A000649","E00033","DISCUSSION","44","174","2025-03-29 00:00:00","S429","C011","I027"
"A001022","E00034","DISCUSSION","40","75","2025-05-09 00:00:00","S033","C020","I016"
"A003428","E00034","DISCUSSION","53","153","2025-05-09 00:00:00","S033","C020","I016"
"A004727","E00034","DISCUSSION","75","101","2025-05-09 00:00:00","S033","C020","I016"
"A006773","E00034","EXAM","86","141","2025-05-09 00:00:00","S033","C020","I016"
"A007486","E00036","QUIZ","78","151","2025-02-07 00:00:00","S131","C034","I024"
"A001057","E00037","EXAM","58","130","2025-04-09 00:00:00","S417","C005","I003"
"A003847","E00038","ASSIGNMENT","92","221","2025-02-04 00:00:00","S130","C036","I008"
"A001500","E00039","QUIZ","47","36","2025-06-12 00:00:00","S119","C024","I004"
"A002100","E00039","QUIZ","68","66","2025-06-12 00:00:00","S119","C024","I004"
"A003171","E00039","EXAM","62","107","2025-06-12 00:00:00","S119","C024","I004"
"A005023","E00039","QUIZ","86","116","2025-06-12 00:00:00","S119","C024","I004"
"A006012","E00039","EXAM","70","227","2025-06-12 00:00:00","S119","C024","I004"
"A006443","E00039","QUIZ","76","112","2025-06-12 00:00:00","S119","C024","I004"
"A007432","E00039","QUIZ","97","30","2025-06-12 00:00:00","S119","C024","I004"
"A003715","E00040","QUIZ","97","113","2025-06-15 00:00:00","S056","C047","I037"
"A007463","E00040","QUIZ","99","26","2025-06-15 00:00:00","S056","C047","I037"
"A007952","E00040","ASSIGNMENT","49","197","2025-06-15 00:00:00","S056","C047","I037"
"A008697","E00040","DISCUSSION","93","10","2025-06-15 00:00:00","S056","C047","I037"
"A002070","E00041","QUIZ","47","207","2025-02-12 00:00:00","S126","C019","I029"
"A002935","E00041","QUIZ","82","83","2025-02-12 00:00:00","S126","C019","I029"
"A002965","E00041","VIDEO WATCH","63","231","2025-02-12 00:00:00","S126","C019","I029"
"A004699","E00041","ASSIGNMENT","50","223","2025-02-12 00:00:00","S126","C019","I029"
"A004834","E00041","QUIZ","48","138","2025-02-12 00:00:00","S126","C019","I029"
"A003686","E00042","QUIZ","100","76","2025-03-30 00:00:00","S343","C060","I026"
"A003830","E00042","QUIZ","80","217","2025-03-30 00:00:00","S343","C060","I026"
"A006168","E00042","QUIZ","92","145","2025-03-30 00:00:00","S343","C060","I026"
"A008375","E00042","QUIZ","70","8","2025-03-30 00:00:00","S343","C060","I026"
"A000581","E00043","ASSIGNMENT","83","123","2025-04-28 00:00:00","S467","C045","I019"
"A002327","E00043","DISCUSSION","74","32","2025-04-28 00:00:00","S467","C045","I019"
"A003446","E00043","EXAM","69","207","2025-04-28 00:00:00","S467","C045","I019"
"A006587","E00043","QUIZ","93","20","2025-04-28 00:00:00","S467","C045","I019"
"A008025","E00043","ASSIGNMENT","55","207","2025-04-28 00:00:00","S467","C045","I019"
"A001631","E00044","DISCUSSION","48","70","2025-05-02 00:00:00","S471","C052","I019"
"A001831","E00044","VIDEO WATCH","97","165","2025-05-02 00:00:00","S471","C052","I019"
"A004382","E00044","QUIZ","100","65","2025-05-02 00:00:00","S471","C052","I019"
"A002119","E00045","ASSIGNMENT","98","66","2025-06-20 00:00:00","S137","C009","I004"
"A001408","E00046","QUIZ","54","152","2025-05-25 00:00:00","S491","C003","I007"
"A006447","E00046","DISCUSSION","73","77","2025-05-25 00:00:00","S491","C003","I007"
"A006232","E00047","EXAM","40","11","2025-04-19 00:00:00","S185","C039","I010"
"A007519","E00047","QUIZ","80","125","2025-04-19 00:00:00","S185","C039","I010"
"A007969","E00047","DISCUSSION","54","151","2025-04-19 00:00:00","S185","C039","I010"
"A008315","E00047","ASSIGNMENT","92","95","2025-04-19 00:00:00","S185","C039","I010"
"A004090","E00048","QUIZ","56","139","2025-03-04 00:00:00","S220","C058","I006"
"A005416","E00048","QUIZ","59","56","2025-03-04 00:00:00","S220","C058","I006"
"A005736","E00048","QUIZ","56","217","2025-03-04 00:00:00","S220","C058","I006"
"A005742","E00048","VIDEO WATCH","42","143","2025-03-04 00:00:00","S220","C058","I006"
"A007588","E00048","VIDEO WATCH","72","112","2025-03-04 00:00:00","S220","C058","I006"
"A007813","E00048","QUIZ","48","202","2025-03-04 00:00:00","S220","C058","I006"
"A001427","E00049","ASSIGNMENT","73","96","2025-06-26 00:00:00","S069","C056","I031"
"A003495","E00049","QUIZ","47","152","2025-06-26 00:00:00","S069","C056","I031"
"A006138","E00049","VIDEO WATCH","81","150","2025-06-26 00:00:00","S069","C056","I031"
"A004216","E00050","ASSIGNMENT","57","203","2025-01-14 00:00:00","S176","C042","I009"
"A005169","E00050","VIDEO WATCH","57","84","2025-01-14 00:00:00","S176","C042","I009"
"A007274","E00050","DISCUSSION","43","115","2025-01-14 00:00:00","S176","C042","I009"
"A001031","E00051","QUIZ","67","53","2025-02-08 00:00:00","S363","C010","I014"
"A001031","E00051","QUIZ","67","53","2025-02-08 00:00:00","S033","C045","I035"
"A007995","E00051","QUIZ","98","27","2025-02-08 00:00:00","S363","C010","I014"
"A007995","E00051","QUIZ","98","27","2025-02-08 00:00:00","S033","C045","I035"
"A002049","E00052","QUIZ","56","153","2025-01-31 00:00:00","S205","C002","I040"
"A003795","E00052","DISCUSSION","83","29","2025-01-31 00:00:00","S205","C002","I040"
"A007805","E00052","QUIZ","60","117","2025-01-31 00:00:00","S205","C002","I040"
"A002702","E00053","QUIZ","76","225","2025-06-18 00:00:00","S245","C011","I031"
"A007693","E00053","QUIZ","54","61","2025-06-18 00:00:00","S245","C011","I031"
"A008352","E00053","QUIZ","73","148","2025-06-18 00:00:00","S245","C011","I031"
"A001198","E00054","DISCUSSION","50","13","2025-05-26 00:00:00","S210","C004","I036"
"A007180","E00054","EXAM","64","111","2025-05-26 00:00:00","S210","C004","I036"
"A007241","E00054","ASSIGNMENT","56","179","2025-05-26 00:00:00","S210","C004","I036"
"A007575","E00054","DISCUSSION","69","176","2025-05-26 00:00:00","S210","C004","I036"
"A003518","E00055","DISCUSSION","94","7","2025-04-09 00:00:00","S197","C040","I036"
"A006089","E00055","QUIZ","96","163","2025-04-09 00:00:00","S197","C040","I036"
"A007371","E00055","ASSIGNMENT","61","196","2025-04-09 00:00:00","S197","C040","I036"
"A000300","E00056","DISCUSSION","54","82","2025-05-02 00:00:00","S248","C010","I017"
"A001837","E00056","ASSIGNMENT","80","145","2025-05-02 00:00:00","S248","C010","I017"
"A001421","E00057","ASSIGNMENT","49","41","2025-01-07 00:00:00","S111","C014","I008"
"A001645","E00057","EXAM","67","57","2025-01-07 00:00:00","S111","C014","I008"
"A005260","E00057","EXAM","45","174","2025-01-07 00:00:00","S111","C014","I008"
"A005779","E00057","DISCUSSION","52","16","2025-01-07 00:00:00","S111","C014","I008"
"A007393","E00057","EXAM","92","207","2025-01-07 00:00:00","S111","C014","I008"
"A000665","E00058","VIDEO WATCH","95","183","2025-06-16 00:00:00","S111","C005","I027"
"A002475","E00058","QUIZ","76","154","2025-06-16 00:00:00","S111","C005","I027"
"A002776","E00058","QUIZ","89","221","2025-06-16 00:00:00","S111","C005","I027"
"A007903","E00058","DISCUSSION","65","165","2025-06-16 00:00:00","S111","C005","I027"
"A002380","E00059","QUIZ","90","123","2025-05-25 00:00:00","S321","C006","I020"
"A002641","E00059","ASSIGNMENT","42","37","2025-05-25 00:00:00","S321","C006","I020"
"A007294","E00059","QUIZ","98","30","2025-05-25 00:00:00","S321","C006","I020"
"A008608","E00059","EXAM","41","162","2025-05-25 00:00:00","S321","C006","I020"
"A000018","E00060","QUIZ","79","24","2025-03-22 00:00:00","S311","C024","I010"
"A000270","E00060","ASSIGNMENT","59","79","2025-03-22 00:00:00","S311","C024","I010"
"A002311","E00060","VIDEO WATCH","43","52","2025-03-22 00:00:00","S311","C024","I010"
"A002415","E00061","VIDEO WATCH","48","205","2025-04-27 00:00:00","S190","C042","I022"
"A003736","E00061","DISCUSSION","56","17","2025-04-27 00:00:00","S190","C042","I022"
"A006316","E00061","EXAM","78","138","2025-04-27 00:00:00","S190","C042","I022"
"A000869","E00063","QUIZ","43","148","2025-05-25 00:00:00","S153","C025","I028"
"A000991","E00063","QUIZ","83","145","2025-05-25 00:00:00","S153","C025","I028"
"A003889","E00063","VIDEO WATCH","63","97","2025-05-25 00:00:00","S153","C025","I028"
"A004286","E00063","QUIZ","65","20","2025-05-25 00:00:00","S153","C025","I028"
"A005132","E00063","ASSIGNMENT","84","58","2025-05-25 00:00:00","S153","C025","I028"
"A001043","E00064","DISCUSSION","79","108","2025-04-15 00:00:00","S310","C016","I013"
"A003113","E00064","QUIZ","65","129","2025-04-15 00:00:00","S310","C016","I013"
"A004336","E00064","ASSIGNMENT","70","205","2025-04-15 00:00:00","S310","C016","I013"
"A006889","E00064","ASSIGNMENT","88","132","2025-04-15 00:00:00","S310","C016","I013"
"A008851","E00064","VIDEO WATCH","68","74","2025-04-15 00:00:00","S310","C016","I013"
"A001077","E00065","ASSIGNMENT","63","64","2025-06-06 00:00:00","S399","C025","I008"
"A002285","E00065","DISCUSSION","66","94","2025-06-06 00:00:00","S399","C025","I008"
"A002888","E00065","VIDEO WATCH","88","95","2025-06-06 00:00:00","S399","C025","I008"
"A003942","E00065","QUIZ","86","125","2025-06-06 00:00:00","S399","C025","I008"
"A002155","E00066","DISCUSSION","70","100","2025-05-28 00:00:00","S261","C019","I008"
"A002827","E00067","EXAM","70","69","2025-04-02 00:00:00","S362","C019","I021"
"A002653","E00068","QUIZ","44","229","2025-04-12 00:00:00","S042","C046","I027"
"A003082","E00068","ASSIGNMENT","44","198","2025-04-12 00:00:00","S042","C046","I027"
"A004322","E00068","QUIZ","59","131","2025-04-12 00:00:00","S042","C046","I027"
"A008005","E00068","VIDEO WATCH","96","106","2025-04-12 00:00:00","S042","C046","I027"
"A008242","E00068","EXAM","41","21","2025-04-12 00:00:00","S042","C046","I027"
"A000798","E00069","DISCUSSION","70","68","2025-06-22 00:00:00","S126","C034","I039"
"A002062","E00069","ASSIGNMENT","84","137","2025-06-22 00:00:00","S126","C034","I039"
"A002243","E00069","DISCUSSION","42","218","2025-06-22 00:00:00","S126","C034","I039"
"A002595","E00069","QUIZ","89","15","2025-06-22 00:00:00","S126","C034","I039"
"A004226","E00069","ASSIGNMENT","74","195","2025-06-22 00:00:00","S126","C034","I039"
"A005218","E00070","DISCUSSION","50","160","2025-01-20 00:00:00","S028","C051","I003"
"A006440","E00070","DISCUSSION","82","67","2025-01-20 00:00:00","S028","C051","I003"
"A006625","E00070","EXAM","58","224","2025-01-20 00:00:00","S028","C051","I003"
"A007107","E00070","EXAM","41","107","2025-01-20 00:00:00","S028","C051","I003"
"A007583","E00070","DISCUSSION","66","132","2025-01-20 00:00:00","S028","C051","I003"
"A007886","E00070","QUIZ","97","157","2025-01-20 00:00:00","S028","C051","I003"
"A008770","E00070","QUIZ","88","175","2025-01-20 00:00:00","S028","C051","I003"
"A000041","E00071","ASSIGNMENT","60","174","2025-02-10 00:00:00","S411","C057","I038"
"A002940","E00071","DISCUSSION","70","8","2025-02-10 00:00:00","S411","C057","I038"
"A003117","E00072","EXAM","70","139","2025-01-27 00:00:00","S455","C030","I030"
"A003856","E00072","ASSIGNMENT","81","19","2025-01-27 00:00:00","S455","C030","I030"
"A004637","E00072","ASSIGNMENT","67","180","2025-01-27 00:00:00","S455","C030","I030"
"A004723","E00072","VIDEO WATCH","100","29","2025-01-27 00:00:00","S455","C030","I030"
"A005114","E00072","VIDEO WATCH","62","63","2025-01-27 00:00:00","S455","C030","I030"
"A006801","E00072","EXAM","52","94","2025-01-27 00:00:00","S455","C030","I030"
"A008633","E00072","ASSIGNMENT","83","28","2025-01-27 00:00:00","S455","C030","I030"
"A008860","E00072","ASSIGNMENT","47","67","2025-01-27 00:00:00","S455","C030","I030"
"A007122","E00073","EXAM","83","116","2025-06-20 00:00:00","S170","C050","I008"
"A008216","E00074","DISCUSSION","98","33","2025-03-02 00:00:00","S083","C016","I011"
"A006551","E00075","ASSIGNMENT","64","173","2025-05-11 00:00:00","S435","C028","I035"
"A000689","E00076","QUIZ","69","40","2025-04-04 00:00:00","S352","C046","I006"
"A001055","E00076","EXAM","44","95","2025-04-04 00:00:00","S352","C046","I006"
"A005840","E00076","QUIZ","97","237","2025-04-04 00:00:00","S352","C046","I006"
"A002203","E00077","QUIZ","94","90","2025-02-03 00:00:00","S103","C041","I017"
"A004401","E00077","EXAM","57","156","2025-02-03 00:00:00","S103","C041","I017"
"A001670","E00078","EXAM","72","196","2025-02-11 00:00:00","S203","C011","I009"
"A003920","E00078","DISCUSSION","49","86","2025-02-11 00:00:00","S203","C011","I009"
"A004468","E00078","DISCUSSION","44","5","2025-02-11 00:00:00","S203","C011","I009"
"A004646","E00078","DISCUSSION","83","239","2025-02-11 00:00:00","S203","C011","I009"
"A005400","E00078","DISCUSSION","89","34","2025-02-11 00:00:00","S203","C011","I009"
"A001336","E00079","EXAM","92","21","2025-03-25 00:00:00","S046","C057","I018"
"A001916","E00079","QUIZ","76","176","2025-03-25 00:00:00","S046","C057","I018"
"A002786","E00079","EXAM","65","174","2025-03-25 00:00:00","S046","C057","I018"
"A004708","E00079","QUIZ","93","207","2025-03-25 00:00:00","S046","C057","I018"
"A006858","E00079","EXAM","95","68","2025-03-25 00:00:00","S046","C057","I018"
"A001333","E00080","DISCUSSION","100","240","2025-02-26 00:00:00","S396","C012","I021"
"A002000","E00080","VIDEO WATCH","68","128","2025-02-26 00:00:00","S396","C012","I021"
"A003643","E00080","VIDEO WATCH","72","5","2025-02-26 00:00:00","S396","C012","I021"
"A005570","E00080","ASSIGNMENT","73","234","2025-02-26 00:00:00","S396","C012","I021"
"A007749","E00080","VIDEO WATCH","86","209","2025-02-26 00:00:00","S396","C012","I021"
"A000298","E00081","EXAM","70","102","2025-05-27 00:00:00","S239","C059","I025"
"A001065","E00082","EXAM","53","44","2025-02-20 00:00:00","S130","C050","I022"
"A001287","E00082","QUIZ","41","207","2025-02-20 00:00:00","S130","C050","I022"
"A004573","E00082","VIDEO WATCH","70","214","2025-02-20 00:00:00","S130","C050","I022"
"A006073","E00082","EXAM","58","169","2025-02-20 00:00:00","S130","C050","I022"
"A008576","E00083","ASSIGNMENT","67","151","2025-02-02 00:00:00","S151","C053","I003"
"A001298","E00084","ASSIGNMENT","99","127","2025-01-06 00:00:00","S488","C026","I018"
"A002420","E00084","EXAM","50","127","2025-01-06 00:00:00","S488","C026","I018"
"A002665","E00084","DISCUSSION","70","114","2025-01-06 00:00:00","S488","C026","I018"
"A004709","E00084","DISCUSSION","47","224","2025-01-06 00:00:00","S488","C026","I018"
"A005805","E00084","QUIZ","63","201","2025-01-06 00:00:00","S488","C026","I018"
"A006006","E00084","QUIZ","41","203","2025-01-06 00:00:00","S488","C026","I018"
"A006931","E00084","EXAM","68","138","2025-01-06 00:00:00","S488","C026","I018"
"A006951","E00085","ASSIGNMENT","77","133","2025-05-23 00:00:00","S149","C029","I027"
"A006009","E00086","DISCUSSION","43","122","2025-02-21 00:00:00","S297","C060","I021"
"A006307","E00086","EXAM","74","12","2025-02-21 00:00:00","S297","C060","I021"
"A008155","E00086","QUIZ","99","168","2025-02-21 00:00:00","S297","C060","I021"
"A008231","E00086","VIDEO WATCH","73","85","2025-02-21 00:00:00","S297","C060","I021"
"A001526","E00087","ASSIGNMENT","40","93","2025-01-06 00:00:00","S057","C020","I028"
"A006702","E00087","QUIZ","64","129","2025-01-06 00:00:00","S057","C020","I028"
"A007570","E00087","QUIZ","82","158","2025-01-06 00:00:00","S057","C020","I028"
"A004827","E00089","ASSIGNMENT","94","198","2025-02-03 00:00:00","S380","C024","I010"
"A000039","E00090","ASSIGNMENT","70","70","2025-03-29 00:00:00","S344","C014","I028"
"A000417","E00090","ASSIGNMENT","66","116","2025-03-29 00:00:00","S344","C014","I028"
"A002246","E00090","ASSIGNMENT","93","15","2025-03-29 00:00:00","S344","C014","I028"
"A002427","E00090","ASSIGNMENT","58","54","2025-03-29 00:00:00","S344","C014","I028"
"A002747","E00090","EXAM","79","18","2025-03-29 00:00:00","S344","C014","I028"
"A004247","E00090","EXAM","64","141","2025-03-29 00:00:00","S344","C014","I028"
"A001466","E00091","VIDEO WATCH","73","38","2025-03-17 00:00:00","S085","C051","I005"
"A002430","E00091","EXAM","66","82","2025-03-17 00:00:00","S085","C051","I005"
"A002441","E00091","QUIZ","76","124","2025-03-17 00:00:00","S085","C051","I005"
"A006454","E00092","EXAM","93","191","2025-03-23 00:00:00","S232","C038","I032"
"A006811","E00092","ASSIGNMENT","79","24","2025-03-23 00:00:00","S232","C038","I032"
